stage,statement,approval_level,budget,statement_cost,generator_name,num_covered_agents,num_remaining_agents,agent_utilities,covered_agent_ids,remaining_agent_ids,covered_agent_data,utility_distribution
nominate_best,"Bowling Green desperately needs to expand internet access for residents. It’s ridiculous that in 2023, so many areas still have slow or no service while surrounding counties are ahead. BGMU should step up and offer residential fiber internet as a utility, like Chattanooga has done successfully. Reliable, high-speed internet isn’t a luxury—it’s a necessity for education, work, and daily life. The city must prioritize this to keep up with growth and ensure everyone has equal access to modern infrastructure.",5,60,79,PreviousBestGenerator__approval_None__budget_None__cluster_size_-1,,,"{277: 1.3922287688564052, 842: 1.1828694439102574, 161: 2.2904589554942887, 1200: 0.0007101165718911284, 411: 4.103572847258263e-05, 188: 0.4410966635774555, 1432: 5.126697697247316, 198: 0.11947128076577718, 282: 0.012490962220919832, 301: 0.008600546923186791, 329: 0.9046503089292228, 1344: 0.09556920514250455, 85: 0.06020848686892932, 1001: 4.223710749025505, 1314: 2.0721611093676984e-09, 1464: 0.06890972131666318, 189: 4.434174401260009, 1457: 0.0019765736877208617, 1123: 0.7795345181075708, 1068: 2.396467149168302e-07, 820: 5.932482482091174, 1158: 9.63352636914605e-05, 1542: 0.0007111670004402715, 1465: 0.26674708808032754, 1649: 4.165270793474807, 1654: 5.87452229610097e-05, 1505: 0.9341149499702318, 1371: 0.017995733437363937, 67: 4.47450503564495, 1356: 0.9780867566590076, 1516: 0.7410459674661162, 1132: 0.9367987211739199, 1534: 0.38382254880974565, 314: 1.4042567465601064, 646: 0.017994640070896906, 1047: 4.2942316538658725, 1010: 0.9856699666639765, 274: 1.8188255961972635, 746: 0.2691723371718988, 323: 4.055128308015375, 493: 0.0015021377554216286}",,,,
generate,It’s absurd that Warren County lags behind in internet access while others thrive. BGMU must step up and provide residential fiber as a utility—Chattanooga proves it’s possible and transformative. Reliable internet isn’t a luxury; it’s essential.,5,40,36,PreviousBestGenerator__approval_None__budget_None__cluster_size_-1,,,"{277: 0.9651087233365494, 161: 2.542470584113895, 842: 1.5749584378750048, 1200: 0.1481400277466447, 411: 0.00012814191069221437, 188: 0.18351751145439876, 1432: 4.472306212354711, 198: 0.5639654774930055, 301: 0.4410940348957717, 329: 0.8199956864151727, 85: 0.0956634887456651, 1344: 0.6284211821902295, 1001: 4.127895211444894, 1314: 4.1717511001237995e-08, 1464: 0.0932218172671837, 189: 4.243919427094886, 1457: 0.023301766654439393, 1123: 0.04781654562906734, 1068: 4.030058510784418e-05, 820: 5.913504863145449, 1158: 0.00018045321422621718, 1542: 0.005222544778731852, 1465: 0.8810052433044222, 1649: 3.267766908297534, 1654: 0.006716737705249942, 1505: 0.2694710379649844, 1371: 0.6226849073493751, 314: 1.329320875121523, 67: 4.1852113940042175, 1356: 1.0550428594906254, 1516: 1.7954169401650706, 1132: 0.9228302426564681, 1534: 0.7791120066865875, 646: 0.011013502834449351, 1047: 3.0286756818063494, 1010: 0.43837827831433884, 746: 0.9451696043056933, 493: 0.2718410730739791, 323: 3.208649059495027}",,,,"{0: 39.0, 1: 13.0, 2: 9.0, 3: 8.0, 3.5: 5.0, 4: 5.0, 4.5: 1.0, 5: 1.0, 5.5: 1.0}"
generate,"Traffic in Bowling Green is a nightmare, and it’s time to fix it. Widen roads, add turn lanes, and install roundabouts where needed—especially on Fairview Ave. Stop approving developments without proper infrastructure. Enough is enough!",5,40,35,TagNNGenerator__approval_None__budget_None__cluster_size_10,,,"{161: 0.8628524856003934, 277: 1.0771234930087576, 842: 0.6243495585463293, 1200: 0.1481399387045489, 411: 1.1349531251298146, 188: 0.12041806594683124, 1432: 0.6284517777872585, 198: 3.5114600125619337, 301: 1.053073637704027, 85: 3.3047584665696013, 1344: 0.0004313874697020603, 329: 0.5003720817114568, 1314: 2.1287843954276298e-07, 1464: 0.004359932593834381, 1001: 1.008889511596703, 189: 0.7009167620378873, 1457: 2.324426780608846e-06, 1068: 0.3212612954225632, 1123: 0.014179121409274575, 820: 0.6923833874277641, 1158: 0.9099512512286703, 1465: 0.04778007402699369, 1542: 2.5834137173194858, 1649: 1.0338680311064181, 1654: 4.6380157930863595, 1371: 2.4976871790467077, 314: 0.9931462249468365, 1505: 2.7575636390196774, 67: 0.04755388327964272, 1356: 0.0024748402001175673, 1516: 0.9586107685243683, 1132: 0.378925968735474, 646: 3.036813264771256, 1534: 0.006819993378933242, 1047: 0.0759218098020017, 1010: 5.3665988642604, 746: 2.1600219645586596, 493: 4.319110280820488, 323: 3.3494777077092692}",,,,"{0: 39.0, 1: 16.0, 2: 11.0, 3: 7.0, 3.5: 4.0, 4: 3.0, 4.5: 2.0, 5: 1.0}"
generate,"Fairview Avenue desperately needs a traffic circle at Kereiakes Park to ease congestion—simple, effective, and overdue. Let’s stop approving developments until infrastructure catches up; we deserve smarter planning, not endless gridlock and patchwork solutions that don’t work.",5,40,37,WeightedNNGenerator__approval_None__budget_None__cluster_size_10,,,"{277: 2.667261581694694, 161: 1.0466713651437518, 1200: 0.001927538536963036, 411: 1.1583496156370734, 842: 0.7776625268445316, 188: 0.001170316435507357, 1432: 0.5631281258802584, 198: 4.625147341055082, 301: 0.9822529669403526, 329: 0.37798112954749197, 85: 3.1645630061227656, 1344: 0.0019280708540054814, 1001: 1.0102659959610192, 1314: 5.057851593104346e-07, 1464: 0.04834901268189706, 189: 0.32727682507469846, 1457: 0.0002039829180742192, 1123: 0.7847558642782211, 1068: 0.269146957931069, 820: 0.5634113573545346, 1158: 0.6795318889640508, 1542: 1.3842707322823413, 1465: 0.43915735615023, 1649: 1.0444622795408525, 1654: 5.723610436590123, 1505: 1.8584016217057444, 1371: 2.9671979909012225, 314: 0.9837555809671704, 67: 0.0004314846856029453, 1356: 0.017990698655692694, 1516: 1.038445341499577, 1132: 0.6798174674172649, 1534: 0.04761225079377418, 646: 1.2627616452235197, 1047: 0.37766603443943014, 1010: 1.31531225325485, 746: 1.2199486954343157, 493: 3.474378847798379, 323: 1.194766443259474}",,,,"{0: 39.0, 1: 17.0, 2: 6.0, 3: 4.0, 3.5: 2.0, 4: 2.0, 4.5: 2.0, 5: 1.0, 5.5: 1.0}"
generate,"Bowling Green's traffic is a nightmare, and it's time for real solutions—widen roads, add roundabouts, and rethink traffic lights. Stop approving developments without proper infrastructure. Fixing this mess should be the city's top priority, not fountains or fluff.",5,40,38,ClosestClusterGenerator__approval_None__budget_None__cluster_size_10,,,"{277: 1.1799226419992705, 161: 0.7837123398079455, 842: 0.8874518127325762, 411: 1.9918828206960417, 188: 0.029412920241493445, 1432: 0.3782775073122078, 198: 3.4596837470989854, 301: 1.5135272841344354, 1200: 0.5626931036047955, 329: 0.1192696080939818, 85: 3.207177580274297, 1344: 0.005230030382283424, 1001: 1.1259952728026152, 1314: 7.914825275290305e-06, 1464: 0.011350395091771492, 189: 0.22418951681178578, 1457: 4.590932295123196e-05, 1123: 0.0996756052743265, 1068: 0.5018896763994879, 820: 0.9577323003141844, 1158: 1.2424945730205754, 1542: 3.197768886249744, 1465: 0.1500086900094546, 1649: 1.2721373029123848, 1654: 4.2100493827688, 1505: 3.276015835798661, 1371: 3.0800599385599337, 314: 0.9352481359105193, 67: 0.029621310083187802, 1356: 0.018015968932631354, 1132: 0.37890513038927187, 1534: 0.00044780651424791706, 646: 3.1996828797904793, 1516: 0.6260540366371578, 1010: 5.079844031678777, 1047: 0.14818460147541046, 746: 2.289907653471648, 493: 3.1032811546979753, 323: 3.168787267512713}",,,,"{0: 39.0, 1: 17.0, 2: 11.0, 3: 10.0, 3.5: 2.0, 4: 2.0, 4.5: 1.0, 5: 1.0}"
generate,"It’s infuriating that Warren County lags behind in internet access. BGMU must follow Chattanooga's lead and provide residential fiber internet as a utility—reliable internet is a basic need, not a privilege!",5,40,31,PreviousBestGenerator__approval_None__budget_None__cluster_size_-1,,,"{277: 1.17298198069557, 161: 2.6648904710002093, 842: 0.9779914634600175, 1200: 0.0760867330556837, 411: 0.0007329107360792841, 188: 0.18350838999291164, 1432: 4.501403375314814, 198: 0.0024747942246317045, 301: 0.014126481436945837, 329: 0.18253778733203185, 85: 0.02937321760676259, 1344: 0.12029646789447346, 1001: 4.19803103935489, 1314: 1.374979698098855e-06, 1464: 0.10624203959145417, 189: 4.221622813075697, 1457: 0.06723175021365657, 1123: 0.1867856906445764, 1068: 3.1370324320434406e-05, 820: 5.9838219694895365, 1158: 3.146886450156039e-05, 1542: 0.004078935188699728, 1465: 0.12276198222725732, 1649: 3.208202134026293, 1654: 0.00043483233309316027, 1371: 0.029317925984531312, 1505: 0.9716028744420017, 314: 1.2833341551598836, 67: 4.009967921610798, 1356: 1.05677908921931, 1516: 1.046774080682699, 1132: 0.43918036787950365, 1534: 0.4010429518363371, 646: 0.023049117143444153, 1047: 3.11125279911642, 1010: 0.8604682120308759, 746: 0.2693271426633299, 493: 0.06035778075489384, 323: 3.152520987245632}",,,,"{0: 39.0, 1: 13.0, 2: 9.0, 3: 8.0, 3.5: 5.0, 4: 5.0, 4.5: 2.0, 5: 1.0, 5.5: 1.0}"
generate,"Schools in Bowling Green and Warren County desperately need comprehensive sex education that teaches consent, safe practices, and STD prevention. Ignoring this is irresponsible—teens deserve accurate, practical knowledge to make informed decisions about their health and futures.",5,40,37,WeightedNNGenerator__approval_None__budget_None__cluster_size_10,,,"{277: 1.1909723853683771, 161: 2.716144618106663, 842: 0.8839392475605093, 1200: 0.0005541170398455364, 411: 5.563936279817661e-06, 1432: 0.0604735455524571, 188: 0.680728848900537, 198: 3.562523332578671e-05, 301: 0.1212449387301926, 329: 0.9795309809940937, 85: 1.5634446335344165e-06, 1344: 0.4380551538685926, 1001: 0.15520347265788437, 1314: 3.1959657142976994e-10, 1464: 5.984823813136769, 189: 1.4133352859565766, 1457: 5.487349322115579, 1123: 0.34645054149924626, 1068: 3.698245204519779e-07, 820: 0.0033238929675054596, 1542: 4.278177171301856e-06, 1465: 0.3816629665855735, 1158: 9.514174132974063e-07, 1649: 0.02300313407885113, 1654: 4.022797215230689e-06, 1505: 0.00020381860901808047, 1371: 2.7777429144393295e-05, 314: 1.0553760821935283, 67: 0.0002627131246967229, 1356: 1.0315103735910474, 1516: 2.049462179763458, 1132: 1.0362590583801756, 1534: 2.467029044792009, 646: 0.03757858027228189, 1047: 0.1836778889118631, 1010: 2.553999907793446, 746: 0.003177313811498661, 493: 0.00015877690283006007, 323: 0.0003370551022645607}",,,,"{0: 39.0, 1: 11.0, 2: 6.0, 3: 2.0, 3.5: 2.0, 4: 2.0, 4.5: 2.0, 5: 2.0, 5.5: 1.0}"
generate,"Bowling Green’s traffic issues are out of control. We need smarter solutions like roundabouts, better enforcement of traffic laws, and well-placed signals. Prioritize safety and flow over convenience—our roads should serve people, not chaos.",5,40,34,TagNNGenerator__approval_None__budget_None__cluster_size_10,,,"{161: 0.509503368369645, 277: 4.399446413999174, 842: 0.07605811787484273, 1200: 0.005221425042672201, 411: 3.353168062454457, 188: 0.18471505754946183, 1432: 0.11984906293356823, 198: 2.1464647190588892, 301: 0.9295356283625523, 329: 0.2234759215250951, 85: 3.17108804543171, 1001: 0.9308317552584155, 1344: 0.0024814555255397996, 1314: 4.155968735819471e-08, 1464: 0.0026449743974095163, 189: 0.6892624890979399, 1457: 4.063042925195326e-05, 1123: 0.038685549067869585, 820: 0.09698647761477386, 1158: 1.242525582140579, 1542: 3.2471447850169675, 1465: 0.3375429934498455, 1649: 1.000087766859954, 1654: 4.496997076552213, 1505: 3.1713052337542376, 1371: 2.9273808206731147, 314: 0.632127937711988, 1068: 1.321074384353882, 1356: 0.01411859896787937, 67: 0.014154250136187208, 1516: 1.0461662833199257, 1132: 0.14846856983408674, 1534: 0.011770603242085675, 646: 5.5413966220253075, 1010: 1.1151422570772538, 746: 1.9735183760835313, 493: 2.2254466459282307, 323: 2.5865528442468557, 1047: 0.017995731484899524}",,,,"{0: 39.0, 1: 17.0, 2: 11.0, 3: 7.0, 3.5: 3.0, 4: 3.0, 4.5: 1.0, 5: 1.0, 5.5: 1.0}"
generate,"Bowling Green’s traffic issues are out of control, and it’s time for real solutions. We need better traffic flow with roundabouts, stricter enforcement at intersections, and strategically placed stoplights, especially near schools and congested areas like Shive Lane.",5,40,38,ClosestClusterGenerator__approval_None__budget_None__cluster_size_10,,,"{277: 1.861362633258799, 161: 0.5811820452342424, 842: 1.0467576647565233, 1200: 0.0040726227620605515, 411: 3.1881475858161736, 188: 0.6320463439836278, 1432: 0.07601241843131645, 198: 1.884620228255393, 301: 0.9970564928287982, 329: 0.4386267988281377, 1344: 0.0019295512856102315, 85: 3.2048047763976077, 1001: 0.7855461525983399, 1314: 4.190958791117083e-08, 1464: 0.0005669677983988208, 189: 0.04777056952973757, 1457: 4.578710613434289e-05, 1123: 0.014308069384954214, 1068: 0.827798846179768, 1158: 2.938819206892811, 1542: 2.5691821629634575, 820: 0.12004506051762986, 1465: 1.0002984428883879, 1649: 0.8893010331974518, 1654: 4.2005268058508864, 1505: 4.203636135357765, 1371: 2.958854428705302, 67: 0.03751433056993425, 314: 0.6833925151219151, 1356: 0.01800404535591371, 1516: 0.8620968362878452, 1132: 0.8221470272449655, 1534: 0.5869195417723029, 646: 4.78148776531154, 1047: 0.010991479297536966, 1010: 3.205727715600696, 746: 1.3597978724474429, 493: 2.9866368821338605, 323: 1.9379167578791567}",,,,"{0: 39.0, 1: 16.0, 2: 10.0, 3: 6.0, 3.5: 3.0, 4: 3.0, 4.5: 1.0}"
nominate_best,"Bowling Green desperately needs to expand internet access for residents. It’s ridiculous that in 2023, so many areas still have slow or no service while surrounding counties are ahead. BGMU should step up and offer residential fiber internet as a utility, like Chattanooga has done successfully. Reliable, high-speed internet isn’t a luxury—it’s a necessity for education, work, and daily life. The city must prioritize this to keep up with growth and ensure everyone has equal access to modern infrastructure.",5,40,79,PreviousBestGenerator__approval_None__budget_None__cluster_size_-1,,,"{277: 1.3922287688564052, 842: 1.1828694439102574, 161: 2.2904589554942887, 1200: 0.0007101165718911284, 411: 4.103572847258263e-05, 188: 0.4410966635774555, 1432: 5.126697697247316, 198: 0.11947128076577718, 282: 0.012490962220919832, 301: 0.008600546923186791, 329: 0.9046503089292228, 1344: 0.09556920514250455, 85: 0.06020848686892932, 1001: 4.223710749025505, 1314: 2.0721611093676984e-09, 1464: 0.06890972131666318, 189: 4.434174401260009, 1457: 0.0019765736877208617, 1123: 0.7795345181075708, 1068: 2.396467149168302e-07, 820: 5.932482482091174, 1158: 9.63352636914605e-05, 1542: 0.0007111670004402715, 1465: 0.26674708808032754, 1649: 4.165270793474807, 1654: 5.87452229610097e-05, 1505: 0.9341149499702318, 1371: 0.017995733437363937, 67: 4.47450503564495, 1356: 0.9780867566590076, 1516: 0.7410459674661162, 1132: 0.9367987211739199, 1534: 0.38382254880974565, 314: 1.4042567465601064, 646: 0.017994640070896906, 1047: 4.2942316538658725, 1010: 0.9856699666639765, 274: 1.8188255961972635, 746: 0.2691723371718988, 323: 4.055128308015375, 493: 0.0015021377554216286}",,,,
generate,"Parents should have the absolute freedom to choose the best school for their kids, regardless of where they live. Education options must be accessible for all families, especially those with lower incomes.",5,36,32,WeightedNNGenerator__approval_None__budget_None__cluster_size_9,,,"{161: 3.135799823604872, 277: 1.4154121550754497, 842: 3.1425976960877264, 1200: 0.3223788443762403, 411: 0.301405617111961, 188: 4.592584862132375, 1432: 1.7133269920822722, 198: 0.18418865210536695, 301: 1.7222215144045898, 329: 3.346584207790351, 85: 0.7062386758703041, 1344: 2.000221849954434, 1001: 1.5320647747735263, 1314: 7.921631137053353e-06, 1464: 2.1968892684051813, 189: 1.4859639821496662, 1457: 2.0156769267981614, 1068: 0.008650475802416402, 1123: 2.3752989650556873, 820: 2.1834885789809233, 1158: 0.34971368075023535, 1542: 0.07640202741214064, 1465: 2.1003347275771245, 1649: 1.6421651668884507, 1654: 0.006869039664686105, 1505: 0.8284118427331151, 1371: 0.014155416022609835, 314: 2.0003279874781894, 67: 1.7877836953326953, 1356: 2.035675682696206, 1516: 3.383331248134774, 1132: 2.5247471946086266, 1534: 5.17320378587402, 646: 0.7837711522067788, 1047: 2.2942255410776333, 1010: 1.6690178656015224, 493: 1.234406058245302, 323: 1.3368983091993756, 746: 1.001493314274299}",,,,"{0: 39.0, 1: 27.0, 2: 16.0, 3: 6.0, 3.5: 2.0, 4: 2.0, 4.5: 2.0, 5: 1.0}"
generate,"Police need to step up and enforce traffic laws—expired tags, stop sign runners, and reckless drivers are everywhere. It’s not just about safety; it’s about accountability and generating revenue for the city. Do your job!",5,36,35,TagNNGenerator__approval_None__budget_None__cluster_size_9,,,"{277: 1.1988079907209663, 161: 0.9857994493130626, 842: 0.02298933281897575, 1200: 1.3750111172994295e-06, 411: 3.4197614918833703, 188: 5.842202635131244e-05, 1432: 0.029392108949742646, 198: 0.9074548826673348, 301: 0.8194433940661281, 329: 0.11924371683072388, 85: 2.1980226114055514, 1344: 0.0031759482316801035, 1001: 0.5654982001634313, 1314: 6.489311532575925e-09, 1464: 0.001178072518787543, 189: 0.37847570081049753, 1123: 0.8241077976745492, 1457: 0.03732828624608864, 820: 0.0003365493587740298, 1068: 3.173560730125871, 1158: 0.7399228050780163, 1542: 1.5126562059888768, 1465: 0.003184219744464256, 1649: 0.8893355524088009, 1654: 1.0584128171009928, 1505: 1.0783564390967986, 1371: 1.0025735485580725, 314: 0.5624485112121367, 67: 0.0015053096407922073, 1356: 0.00012348094950320743, 1516: 1.2125676986405383, 1132: 0.18273462211797376, 1534: 0.061318809886255266, 646: 5.955412384267735, 1047: 0.01799265477401657, 1010: 1.042797591026206, 746: 3.196803433717938, 493: 1.3779423040244336, 323: 0.9802897699719249}",,,,"{0: 39.0, 1: 13.0, 2: 5.0, 3: 4.0, 3.5: 1.0, 4: 1.0, 4.5: 1.0, 5: 1.0, 5.5: 1.0}"
generate,"Fairview Avenue desperately needs a traffic circle at Kereiakes Park to fix the constant congestion. It’s a simple, effective solution that would finally improve traffic flow in that area. Let’s make it happen!",5,36,33,TagNNGenerator__approval_None__budget_None__cluster_size_9,,,"{277: 1.0368427945235044, 161: 0.337131099480948, 842: 0.0002613517158730483, 1200: 6.161993434061763e-06, 411: 0.9853844334742726, 188: 6.163722482410705e-06, 1432: 0.01800650335149978, 198: 4.280808112532103, 301: 0.9078044390203902, 329: 0.0009114795460622993, 85: 2.9306086644626395, 1344: 1.8978762701515883e-05, 1001: 0.07592205559437148, 1314: 1.3609701920991313e-08, 1464: 7.547184442069366e-05, 189: 0.0295294056884281, 1457: 0.00026366264697208486, 1123: 0.00015913870884509684, 1068: 0.023000034724983465, 820: 0.0009132555472033399, 1158: 0.03732851042974028, 1465: 0.0009151649073068091, 1649: 0.5631332163456245, 1654: 5.8033353059989325, 1505: 1.306011854707051, 1371: 2.039979715873275, 314: 0.047501168860656806, 1542: 1.0171293957026342, 67: 4.560310740941986e-05, 1356: 5.8366823037614424e-05, 1516: 0.522595185116309, 1132: 0.06013172670662059, 1534: 0.0007305809356087378, 646: 1.1288108949223377, 1047: 0.0019277605509987472, 1010: 1.3492481187961494, 746: 0.736619152714691, 493: 3.334463835757274, 323: 0.986453057185308}",,,,"{0: 39.0, 1: 10.0, 2: 5.0, 3: 3.0, 3.5: 2.0, 4: 2.0, 4.5: 1.0, 5: 1.0, 5.5: 1.0}"
generate,"Bowling Green desperately needs smarter traffic solutions—whether it's roundabouts, turn lanes, or better-timed lights. The current congestion is maddening, unsafe, and outdated. It’s time to prioritize infrastructure before approving more developments.",5,36,31,WeightedNNGenerator__approval_None__budget_None__cluster_size_9,,,"{277: 3.0159746487172274, 161: 1.6493954318584527, 842: 0.563401592559736, 1200: 0.14806137984865508, 411: 2.146086388033445, 188: 0.18263947924740853, 1432: 0.18287851661576215, 198: 3.441104643324665, 301: 1.0974769044905213, 329: 0.4382042387520385, 85: 3.2081376963676167, 1344: 0.060131473565954385, 1001: 1.531633123395864, 1314: 1.8664455236905297e-07, 1464: 0.008995929002069691, 189: 0.9287849909261112, 1457: 0.0001604527830254554, 1123: 0.2874737882241576, 1068: 0.5631655087095968, 820: 0.98946796530645, 1158: 1.429451797872907, 1542: 3.259388599059136, 1649: 1.3885451030920177, 1654: 4.444434352676057, 1505: 3.299835760834185, 1371: 3.2401155412903444, 1465: 0.22732443263143687, 314: 1.1486715466074942, 67: 0.18277926640423559, 1356: 0.006695633787076383, 1516: 0.7903982920542112, 1132: 0.6821001989852353, 646: 1.6832314496524032, 1010: 1.277497423381408, 1047: 0.3776665801736644, 1534: 0.023598944610648598, 746: 2.6198347266016953, 493: 3.8841285611518748, 323: 3.611243656710237}",,,,"{0: 39.0, 1: 19.0, 2: 11.0, 3: 9.0, 3.5: 3.0, 4: 1.0}"
generate,"Parents should have the freedom to choose the best school district for their kids, regardless of where they live, and we must ensure school choice is accessible to families of all income levels.",5,36,33,ClosestClusterGenerator__approval_None__budget_None__cluster_size_9,,,"{161: 1.9408978927929526, 277: 0.8867681199484101, 842: 2.8147915318301724, 1200: 0.029429018744535296, 411: 0.0012406718255755234, 188: 4.871882301360503, 198: 0.029390362624379662, 301: 1.1667642807986134, 1432: 1.0733645594568695, 329: 3.537162612216682, 85: 0.008641666117920499, 1344: 1.3346748083315625, 1001: 1.0402799440732484, 1314: 2.7345042852289225e-07, 1464: 0.5902453250459647, 189: 0.9578444932949466, 1457: 1.0093548145790994, 1123: 1.7470909869941684, 1068: 7.052527162265676e-06, 820: 0.7854538341066317, 1158: 0.0024939466077882333, 1542: 0.00016100810951125144, 1465: 1.1441392333346736, 1649: 1.449649809864773, 1654: 1.7454785022130714e-05, 1505: 0.0025029324879264347, 1371: 0.0009163368515501258, 314: 1.4517386997314297, 67: 0.7830558875002792, 1356: 1.0165619760847249, 1516: 3.871691390312816, 1132: 2.165875288730182, 1534: 5.994130309845517, 646: 0.008670529982565345, 1047: 0.7597704895575954, 1010: 1.309141734490312, 746: 0.8552939434861737, 493: 0.06295230607321622, 323: 0.5939295697978387}",,,,"{0: 39.0, 1: 18.0, 2: 6.0, 3: 4.0, 3.5: 4.0, 4: 2.0, 4.5: 2.0, 5: 1.0, 5.5: 1.0}"
generate,"Bowling Green desperately needs to prioritize traffic flow improvements—install roundabouts, reduce unnecessary traffic lights, and build proper bypasses. The current congestion is unbearable, and ignoring it only worsens daily frustrations for residents.",5,36,32,ClosestClusterGenerator__approval_None__budget_None__cluster_size_9,,,"{161: 0.9341050354762024, 277: 0.9897675049492649, 842: 0.14815192946272437, 1200: 0.008578373756049418, 411: 1.526883945458315, 188: 0.03763307127896809, 1432: 0.26943903219761367, 198: 2.264259900767277, 301: 3.2088312991699897, 329: 0.321209242227929, 85: 3.222417618931571, 1344: 0.00150582636572838, 1001: 0.8199847671479952, 1314: 1.729358767299516e-08, 1464: 0.0011959980734975728, 189: 0.18731632997408088, 1457: 0.0002690429527524296, 1123: 0.3353836819438837, 1068: 0.09562980278466038, 820: 0.22489521310928862, 1158: 0.9893770244588465, 1542: 3.209625014206572, 1465: 0.09601886254120018, 1649: 1.4495376055773916, 1654: 4.21981437087189, 1505: 3.2251862503137185, 1371: 3.387885119203935, 314: 0.9612426109882818, 67: 0.03763209257469369, 1356: 0.029334676700194295, 1516: 0.2721284847769905, 1132: 0.14830215843260697, 1534: 0.004190449046817979, 646: 1.6026042645487948, 1047: 0.09537842269890384, 1010: 4.440262916267705, 746: 1.2660111358941117, 493: 4.055920784670579, 323: 3.186386867347855}",,,,"{0: 39.0, 1: 14.0, 2: 10.0, 3: 9.0, 3.5: 3.0, 4: 3.0}"
generate,"It’s ridiculous that some areas still suffer with poor internet access—BGMU should step up, make residential fiber a utility, and follow Chattanooga's lead to provide consistent, high-speed service for everyone. Enough excuses!",5,36,32,PreviousBestGenerator__approval_None__budget_None__cluster_size_-1,,,"{277: 0.8275066498861257, 842: 0.1192924559232964, 1200: 0.0002036403968692646, 188: 0.04746651482993003, 411: 0.00021760404784210152, 1432: 4.354515544158271, 198: 0.0009132557185067558, 301: 0.22348648849990904, 329: 0.6248999711709431, 161: 2.2218640651022543, 85: 0.18266316427201634, 1001: 3.759373460726118, 1314: 8.837111087345306e-08, 1464: 0.005553766394280291, 189: 4.485265461873059, 1457: 0.007342182155407939, 1344: 0.6260418231704339, 1123: 0.061600598302369636, 1068: 7.931044224362971e-06, 1158: 0.0004317442331556176, 1542: 0.002475136846935677, 820: 5.971160167095308, 1465: 0.01105941426045598, 1649: 3.456710416765923, 1654: 0.00010929451397378998, 1505: 0.9446198706627508, 1371: 0.04743925044117081, 314: 1.2852183750011617, 67: 3.448422340607786, 1356: 0.0031779699540082085, 1516: 0.8582266711954956, 1132: 0.37891603114994377, 1534: 0.22602555014858727, 646: 0.005226089244210197, 1047: 3.40672847121708, 1010: 0.377623695853499, 746: 0.7780021816225081, 493: 0.27073924401041993, 323: 3.1976275283188356}",,,,"{0: 39.0, 1: 10.0, 2: 9.0, 3: 8.0, 3.5: 4.0, 4: 3.0, 4.5: 1.0, 5: 1.0, 5.5: 1.0}"
generate,"It’s absurd that Warren County lags in internet access while others thrive. BGMU must step up, follow Chattanooga’s lead, and make residential fiber internet a utility—fast, reliable internet should be a basic right, not a luxury.",5,36,36,PreviousBestGenerator__approval_None__budget_None__cluster_size_-1,,,"{277: 1.0752605952758545, 842: 0.9485025746741642, 161: 2.354245297768205, 411: 0.0011905309929249874, 188: 0.2697529210945919, 1432: 3.946828592197531, 198: 0.07611065045264087, 301: 0.3787500545657103, 329: 0.14809081196913387, 85: 0.029348807331016635, 1200: 0.06015197201090938, 1344: 0.831669419389233, 1001: 3.3221612649941963, 1464: 0.015747382886106887, 189: 4.244807338371788, 1457: 0.008654440895175641, 1314: 3.077062589174062e-07, 1123: 0.8073317281632535, 820: 5.534894561539769, 1158: 0.0011763031574524296, 1542: 0.006701490350932926, 1465: 0.18627956649190924, 1068: 1.3053475318880459e-05, 1649: 2.9651295700719738, 1654: 0.0015083887227533843, 1505: 0.9093720906029258, 1371: 0.02298130980887514, 314: 1.452298641174637, 67: 3.5535099512298802, 1356: 0.8628520149382475, 1516: 1.7840490986948168, 1132: 0.8283083287664913, 1534: 0.44409704498275826, 646: 0.43863538543613234, 1047: 3.081911682517455, 1010: 0.7784243621965177, 746: 0.817993282752614, 493: 0.3789388253284105, 323: 3.0024863592116247}",,,,"{0: 39.0, 1: 12.0, 2: 9.0, 3: 7.0, 3.5: 4.0, 4: 2.0, 4.5: 1.0, 5: 1.0, 5.5: 1.0}"
